Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,21,52.01737145373386,"(625, 0, 200)","(375, 0, 0)"
1,1,29,66.35477912091721,"(375, 0, 50)","(625, 0, 200)"
2,2,27,62.770427204121376,"(625, 0, 200)","(375, 0, 150)"
3,3,49,102.1982982888756,"(125, 0, 200)","(625, 0, 100)"
4,4,41,87.86089062169225,"(625, 0, 200)","(125, 0, 100)"
5,5,35,77.10783487130473,"(625, 0, 200)","(625, 0, 0)"
6,6,31,69.93913103771305,"(375, 0, 200)","(625, 0, 150)"
7,7,21,52.01737145373386,"(625, 0, 0)","(375, 0, 200)"
8,8,19,48.43301953693802,"(625, 0, 50)","(375, 0, 200)"
9,9,37,80.69218678810057,"(125, 0, 200)","(375, 0, 0)"
10,10,21,52.01737145373386,"(125, 0, 0)","(125, 0, 200)"
11,11,25,59.18607528732554,"(375, 0, 200)","(625, 0, 150)"
12,12,17,44.84866762014218,"(125, 0, 100)","(125, 0, 200)"
13,13,31,69.93913103771305,"(375, 0, 200)","(375, 0, 50)"
14,14,29,66.35477912091721,"(375, 0, 200)","(125, 0, 150)"
15,15,31,69.93913103771305,"(125, 0, 200)","(125, 0, 50)"
16,16,29,66.35477912091721,"(625, 0, 200)","(375, 0, 150)"
17,17,27,62.770427204121376,"(125, 0, 200)","(375, 0, 100)"
18,18,31,69.93913103771305,"(375, 0, 200)","(375, 0, 100)"
19,19,35,77.10783487130473,"(125, 0, 200)","(125, 0, 0)"
