Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,35,377.1078348713047,"(375, 0, 200)","(375, 0, 50)"
1,1,25,359.18607528732554,"(375, 0, 150)","(625, 0, 200)"
2,2,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
3,3,51,405.7826502056714,"(125, 0, 200)","(625, 0, 50)"
4,4,37,380.69218678810057,"(625, 0, 200)","(625, 0, 0)"
5,5,27,362.77042720412135,"(625, 0, 200)","(625, 0, 150)"
6,6,39,384.2765387048964,"(375, 0, 200)","(125, 0, 150)"
7,7,43,391.44524253848806,"(375, 0, 200)","(125, 0, 100)"
8,8,31,369.939131037713,"(625, 0, 200)","(625, 0, 100)"
9,9,21,352.01737145373386,"(125, 0, 0)","(125, 0, 200)"
