Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 50)","(625, 0, 200)"
1,1,"(375, 0, 200)","(125, 0, 50)"
2,2,"(375, 0, 50)","(625, 0, 200)"
3,3,"(125, 0, 200)","(125, 0, 50)"
4,4,"(625, 0, 200)","(125, 0, 0)"
5,5,"(125, 0, 200)","(375, 0, 0)"
6,6,"(625, 0, 200)","(625, 0, 150)"
7,7,"(125, 0, 200)","(125, 0, 0)"
8,8,"(375, 0, 150)","(125, 0, 200)"
9,9,"(625, 0, 150)","(625, 0, 200)"
10,10,"(125, 0, 200)","(125, 0, 150)"
11,11,"(125, 0, 200)","(375, 0, 50)"
12,12,"(125, 0, 50)","(375, 0, 200)"
13,13,"(625, 0, 100)","(625, 0, 200)"
14,14,"(375, 0, 0)","(375, 0, 200)"
15,15,"(375, 0, 100)","(625, 0, 200)"
16,16,"(375, 0, 200)","(375, 0, 0)"
17,17,"(375, 0, 150)","(375, 0, 200)"
18,18,"(125, 0, 200)","(375, 0, 100)"
19,19,"(375, 0, 50)","(375, 0, 200)"
20,20,"(375, 0, 200)","(125, 0, 100)"
21,21,"(125, 0, 200)","(125, 0, 0)"
22,22,"(375, 0, 200)","(125, 0, 150)"
23,23,"(625, 0, 0)","(625, 0, 200)"
24,24,"(625, 0, 100)","(375, 0, 200)"
25,25,"(375, 0, 150)","(125, 0, 200)"
26,26,"(125, 0, 100)","(625, 0, 200)"
27,27,"(625, 0, 200)","(625, 0, 0)"
28,28,"(125, 0, 200)","(125, 0, 100)"
29,29,"(625, 0, 50)","(375, 0, 200)"
