Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 150)","(375, 0, 200)"
1,1,"(125, 0, 200)","(375, 0, 100)"
2,2,"(125, 0, 200)","(125, 0, 100)"
3,3,"(125, 0, 200)","(375, 0, 0)"
4,4,"(125, 0, 200)","(375, 0, 0)"
5,5,"(125, 0, 200)","(625, 0, 0)"
6,6,"(375, 0, 50)","(375, 0, 200)"
7,7,"(375, 0, 200)","(625, 0, 100)"
8,8,"(125, 0, 150)","(625, 0, 200)"
9,9,"(625, 0, 200)","(125, 0, 100)"
10,10,"(375, 0, 200)","(125, 0, 0)"
11,11,"(625, 0, 50)","(625, 0, 200)"
12,12,"(625, 0, 150)","(625, 0, 200)"
13,13,"(625, 0, 200)","(625, 0, 100)"
14,14,"(375, 0, 200)","(375, 0, 150)"
15,15,"(375, 0, 200)","(125, 0, 50)"
16,16,"(625, 0, 50)","(375, 0, 200)"
17,17,"(375, 0, 50)","(375, 0, 200)"
18,18,"(375, 0, 200)","(625, 0, 0)"
19,19,"(375, 0, 100)","(125, 0, 200)"
20,20,"(625, 0, 200)","(375, 0, 0)"
21,21,"(625, 0, 150)","(625, 0, 200)"
22,22,"(625, 0, 200)","(125, 0, 100)"
23,23,"(125, 0, 200)","(125, 0, 0)"
24,24,"(125, 0, 150)","(375, 0, 200)"
25,25,"(125, 0, 200)","(375, 0, 50)"
26,26,"(625, 0, 0)","(125, 0, 200)"
27,27,"(375, 0, 150)","(625, 0, 200)"
28,28,"(125, 0, 50)","(125, 0, 200)"
29,29,"(125, 0, 0)","(625, 0, 200)"
