Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 150)","(125, 0, 200)"
1,1,"(625, 0, 100)","(125, 0, 200)"
2,2,"(375, 0, 200)","(625, 0, 50)"
3,3,"(375, 0, 50)","(375, 0, 200)"
4,4,"(375, 0, 100)","(625, 0, 200)"
5,5,"(375, 0, 50)","(125, 0, 200)"
6,6,"(625, 0, 200)","(625, 0, 0)"
7,7,"(125, 0, 100)","(375, 0, 200)"
8,8,"(125, 0, 100)","(125, 0, 200)"
9,9,"(375, 0, 200)","(125, 0, 0)"
10,10,"(375, 0, 150)","(125, 0, 200)"
11,11,"(375, 0, 200)","(625, 0, 0)"
12,12,"(625, 0, 200)","(375, 0, 0)"
13,13,"(625, 0, 200)","(125, 0, 150)"
14,14,"(625, 0, 200)","(125, 0, 50)"
