Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,29,366.3547791209172,"(375, 0, 50)","(625, 0, 200)"
1,1,35,377.1078348713047,"(125, 0, 200)","(375, 0, 0)"
2,2,19,348.433019536938,"(125, 0, 50)","(125, 0, 200)"
3,3,27,362.77042720412135,"(125, 0, 100)","(375, 0, 200)"
4,4,33,373.5234829545089,"(375, 0, 200)","(375, 0, 100)"
5,5,21,352.01737145373386,"(125, 0, 200)","(125, 0, 0)"
6,6,29,366.3547791209172,"(625, 0, 200)","(375, 0, 150)"
7,7,17,344.8486676201422,"(625, 0, 200)","(625, 0, 100)"
8,8,37,380.69218678810057,"(625, 0, 0)","(125, 0, 200)"
9,9,37,380.69218678810057,"(375, 0, 200)","(625, 0, 150)"
