Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,27,362.77042720412135,"(625, 0, 200)","(375, 0, 0)"
1,1,15,341.2643157033463,"(625, 0, 200)","(625, 0, 150)"
2,2,39,384.2765387048964,"(125, 0, 200)","(375, 0, 100)"
3,3,21,352.01737145373386,"(125, 0, 0)","(125, 0, 200)"
4,4,33,373.5234829545089,"(375, 0, 200)","(625, 0, 100)"
5,5,25,359.18607528732554,"(375, 0, 150)","(375, 0, 200)"
6,6,29,366.3547791209172,"(125, 0, 200)","(125, 0, 150)"
7,7,47,398.61394637207974,"(625, 0, 50)","(125, 0, 200)"
8,8,43,391.44524253848806,"(375, 0, 200)","(125, 0, 100)"
9,9,41,387.86089062169225,"(375, 0, 50)","(625, 0, 200)"
