Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,21,352.01737145373386,"(375, 0, 200)","(125, 0, 0)"
1,1,53,409.3670021224673,"(125, 0, 200)","(625, 0, 100)"
2,2,35,377.1078348713047,"(375, 0, 200)","(375, 0, 50)"
3,3,15,341.2643157033463,"(625, 0, 150)","(375, 0, 200)"
4,4,21,352.01737145373386,"(375, 0, 0)","(375, 0, 200)"
5,5,39,384.2765387048964,"(125, 0, 200)","(625, 0, 50)"
6,6,31,369.939131037713,"(375, 0, 200)","(125, 0, 100)"
7,7,25,359.18607528732554,"(375, 0, 150)","(625, 0, 200)"
8,8,17,344.8486676201422,"(625, 0, 200)","(375, 0, 100)"
9,9,41,387.86089062169225,"(625, 0, 200)","(125, 0, 150)"
10,10,49,402.1982982888756,"(125, 0, 200)","(625, 0, 100)"
11,11,35,377.1078348713047,"(625, 0, 200)","(625, 0, 0)"
12,12,17,344.8486676201422,"(125, 0, 100)","(125, 0, 200)"
13,13,33,373.5234829545089,"(125, 0, 200)","(125, 0, 50)"
14,14,45,395.0295944552839,"(625, 0, 200)","(375, 0, 0)"
