Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,29,66.35477912091721,"(375, 0, 50)","(125, 0, 200)"
1,1,21,52.01737145373386,"(375, 0, 200)","(625, 0, 0)"
2,2,37,80.69218678810057,"(125, 0, 200)","(375, 0, 150)"
3,3,29,66.35477912091721,"(125, 0, 50)","(375, 0, 200)"
4,4,29,66.35477912091721,"(375, 0, 50)","(625, 0, 200)"
5,5,33,73.52348295450889,"(375, 0, 200)","(375, 0, 0)"
6,6,17,44.84866762014218,"(375, 0, 100)","(375, 0, 200)"
7,7,17,44.84866762014218,"(625, 0, 100)","(625, 0, 200)"
8,8,15,41.26431570334634,"(625, 0, 150)","(625, 0, 200)"
9,9,39,84.27653870489641,"(125, 0, 200)","(125, 0, 0)"
10,10,35,77.10783487130473,"(125, 0, 200)","(625, 0, 150)"
11,11,21,52.01737145373386,"(625, 0, 0)","(375, 0, 200)"
12,12,33,73.52348295450889,"(625, 0, 200)","(625, 0, 50)"
13,13,17,44.84866762014218,"(125, 0, 100)","(125, 0, 200)"
14,14,25,59.18607528732554,"(625, 0, 200)","(125, 0, 150)"
