Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,21,352.01737145373386,"(375, 0, 200)","(125, 0, 0)"
1,1,27,362.77042720412135,"(375, 0, 0)","(375, 0, 200)"
2,2,35,377.1078348713047,"(125, 0, 200)","(625, 0, 150)"
3,3,31,369.939131037713,"(625, 0, 200)","(625, 0, 50)"
4,4,19,348.433019536938,"(125, 0, 50)","(125, 0, 200)"
5,5,41,387.86089062169225,"(125, 0, 200)","(375, 0, 100)"
6,6,33,373.5234829545089,"(375, 0, 200)","(625, 0, 0)"
7,7,35,377.1078348713047,"(625, 0, 200)","(375, 0, 50)"
8,8,33,373.5234829545089,"(375, 0, 200)","(125, 0, 100)"
9,9,45,395.0295944552839,"(625, 0, 200)","(125, 0, 0)"
10,10,19,348.433019536938,"(625, 0, 200)","(375, 0, 50)"
11,11,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
12,12,45,395.0295944552839,"(625, 0, 200)","(625, 0, 0)"
13,13,27,362.77042720412135,"(375, 0, 100)","(625, 0, 200)"
14,14,51,405.7826502056714,"(125, 0, 200)","(625, 0, 50)"
15,15,37,380.69218678810057,"(625, 0, 200)","(125, 0, 150)"
16,16,37,380.69218678810057,"(375, 0, 200)","(375, 0, 0)"
17,17,53,409.3670021224673,"(125, 0, 200)","(625, 0, 150)"
18,18,29,366.3547791209172,"(125, 0, 50)","(375, 0, 200)"
19,19,39,384.2765387048964,"(125, 0, 200)","(375, 0, 150)"
