Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,31,369.939131037713,"(125, 0, 200)","(125, 0, 100)"
1,1,21,352.01737145373386,"(625, 0, 200)","(375, 0, 0)"
2,2,19,348.433019536938,"(625, 0, 50)","(375, 0, 200)"
3,3,29,366.3547791209172,"(125, 0, 50)","(375, 0, 200)"
4,4,15,341.2643157033463,"(125, 0, 150)","(125, 0, 200)"
5,5,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
6,6,33,373.5234829545089,"(625, 0, 200)","(625, 0, 50)"
7,7,19,348.433019536938,"(125, 0, 200)","(125, 0, 50)"
8,8,27,362.77042720412135,"(625, 0, 150)","(375, 0, 200)"
9,9,15,341.2643157033463,"(625, 0, 150)","(375, 0, 200)"
10,10,35,377.1078348713047,"(625, 0, 200)","(625, 0, 0)"
11,11,21,352.01737145373386,"(125, 0, 0)","(125, 0, 200)"
12,12,23,355.60172337052967,"(625, 0, 200)","(375, 0, 100)"
13,13,41,387.86089062169225,"(625, 0, 200)","(375, 0, 150)"
14,14,31,369.939131037713,"(375, 0, 200)","(375, 0, 50)"
15,15,39,384.2765387048964,"(375, 0, 200)","(625, 0, 100)"
16,16,31,369.939131037713,"(625, 0, 200)","(625, 0, 100)"
17,17,45,395.0295944552839,"(125, 0, 200)","(625, 0, 0)"
18,18,37,380.69218678810057,"(375, 0, 200)","(375, 0, 0)"
19,19,47,398.61394637207974,"(625, 0, 200)","(125, 0, 0)"
