Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-1,Route-1,(675.0 0.0 205.5),(375.0 0.0 150.0),340.792,7.912,27.868
Truck-4,Route-4,(425.0 0.0 55.5),(375.0 0.0 200.0),352.976,7.904,40.056
Truck-0,Route-0,(675.0 0.0 5.5),(375.0 0.0 200.0),354.432,7.916,41.484
Truck-3,Route-3,(425.0 0.0 155.5),(125.0 0.0 150.0),372.908,31.732,32.88
Truck-8,Route-8,(675.0 0.0 55.5),(625.0 0.0 150.0),375.084,40.144,29.616
Truck-5,Route-5,(175.0 0.0 155.5),(125.0 0.0 50.0),375.388,31.344,38.732
Truck-9,Route-9,(675.0 0.0 155.5),(625.0 0.0 50.0),376.008,31.376,39.328
Truck-2,Route-2,(425.0 0.0 105.5),(375.0 0.0 200.0),378.964,35.44,38.156
Truck-6,Route-6,(175.0 0.0 55.5),(625.0 0.0 200.0),393.844,32.42,56.072
Truck-7,Route-7,(425.0 0.0 -5.5),(125.0 0.0 200.0),403.84,46.82,51.688
Truck-1,Route-1,(675.0 0.0 205.5),(375.0 0.0 150.0),342.56,9.736,27.632
Truck-4,Route-4,(425.0 0.0 55.5),(375.0 0.0 200.0),352.896,9.72,38.096
Truck-0,Route-0,(675.0 0.0 5.5),(375.0 0.0 200.0),354.328,9.744,39.512
Truck-3,Route-3,(425.0 0.0 155.5),(125.0 0.0 150.0),371.136,33.416,32.672
Truck-8,Route-8,(675.0 0.0 55.5),(625.0 0.0 150.0),375.792,41.504,29.24
Truck-9,Route-9,(675.0 0.0 155.5),(625.0 0.0 50.0),378.024,33.48,39.416
Truck-2,Route-2,(425.0 0.0 105.5),(375.0 0.0 200.0),380.768,37.104,38.56
Truck-5,Route-5,(175.0 0.0 155.5),(125.0 0.0 50.0),386.648,34.528,39.024
Truck-6,Route-6,(175.0 0.0 55.5),(625.0 0.0 200.0),395.288,34.24,56
Truck-7,Route-7,(425.0 0.0 -5.5),(125.0 0.0 200.0),405.888,48.28,52.536
