Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-2,Route-2,(675.0 0.0 5.5),(375.0 0.0 200.0),352.0174,356.176,0.07994696,16.96076,7.152,43.896,,,414.368,397.328,414.368,0.0779741,0.05396693,0.06196932
Truck-0,Route-0,(675.0 0.0 155.5),(125.0 0.0 200.0),377.1078,373,-0.05327407,10.65714,7.152,60.768
Truck-4,Route-4,(175.0 0.0 -5.5),(375.0 0.0 100.0),369.9391,379.368,0.1348157,12.23768,38.136,36.12
Truck-1,Route-1,(675.0 0.0 55.5),(375.0 0.0 50.0),377.1078,391.192,0.182655,11.17691,39.208,46.88
Truck-3,Route-3,(175.0 0.0 105.5),(625.0 0.0 50.0),409.367,414.368,0.04572684,7.818264,34.904,74.288
Truck-109,Route-109,(675.0 0.0 205.5),(375.0 0.0 150.0),341.2643,339.728,-0.0372311,22.64853,7.456,27.12
Truck-108,Route-108,(425.0 0.0 205.5),(125.0 0.0 100.0),344.8487,347.608,0.06152554,20.44753,7.456,35.112
Truck-100,Route-100,(425.0 0.0 55.5),(125.0 0.0 200.0),348.433,349.28,0.01748776,18.38316,7.456,36.688
Truck-102,Route-102,(175.0 0.0 105.5),(375.0 0.0 0.0),377.1078,383.088,0.07755584,10.94537,35.76,42.144
Truck-106,Route-106,(425.0 0.0 -5.5),(375.0 0.0 200.0),380.6922,386.96,0.07767531,10.45838,50.312,31.56
Truck-105,Route-105,(675.0 0.0 -5.5),(125.0 0.0 200.0),380.6922,389.856,0.1135647,10.53665,31.912,52.776
Truck-104,Route-104,(675.0 0.0 55.5),(625.0 0.0 200.0),384.2766,391.72,0.08832173,10.0441,30.112,56.36
Truck-107,Route-107,(175.0 0.0 205.5),(625.0 0.0 50.0),384.2766,392.776,0.1008519,10.07118,7.456,80.192
Truck-103,Route-103,(425.0 0.0 155.5),(125.0 0.0 0.0),391.4453,396.288,0.05295784,9.216,30.112,60.952
Truck-101,Route-101,(175.0 0.0 -5.5),(625.0 0.0 200.0),398.614,397.328,-0.01304024,8.453787,26.256,66.032
