Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,35,377.1078348713047,"(125, 0, 100)","(375, 0, 200)"
1,1,39,384.2765387048964,"(625, 0, 200)","(125, 0, 150)"
2,2,43,391.44524253848806,"(625, 0, 0)","(375, 0, 200)"
3,3,23,355.60172337052967,"(625, 0, 200)","(375, 0, 100)"
4,4,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
5,5,27,362.77042720412135,"(375, 0, 0)","(125, 0, 200)"
6,6,15,341.2643157033463,"(375, 0, 150)","(375, 0, 200)"
7,7,37,380.69218678810057,"(625, 0, 0)","(375, 0, 200)"
8,8,31,369.939131037713,"(125, 0, 50)","(125, 0, 200)"
9,9,33,373.5234829545089,"(375, 0, 50)","(625, 0, 200)"
10,10,59,420.1200578728548,"(125, 0, 200)","(625, 0, 150)"
11,11,23,355.60172337052967,"(375, 0, 200)","(375, 0, 100)"
12,12,19,348.433019536938,"(125, 0, 50)","(125, 0, 200)"
13,13,43,391.44524253848806,"(625, 0, 200)","(125, 0, 0)"
14,14,19,348.433019536938,"(625, 0, 200)","(625, 0, 50)"
