Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 100)","(375, 0, 200)"
1,1,"(375, 0, 200)","(375, 0, 50)"
2,2,"(125, 0, 0)","(375, 0, 200)"
3,3,"(375, 0, 50)","(625, 0, 200)"
4,4,"(625, 0, 0)","(125, 0, 200)"
5,5,"(375, 0, 150)","(625, 0, 200)"
6,6,"(125, 0, 100)","(125, 0, 200)"
7,7,"(125, 0, 150)","(625, 0, 200)"
8,8,"(125, 0, 200)","(375, 0, 100)"
9,9,"(125, 0, 200)","(625, 0, 50)"
10,10,"(625, 0, 150)","(375, 0, 200)"
11,11,"(625, 0, 50)","(125, 0, 200)"
12,12,"(375, 0, 200)","(625, 0, 100)"
13,13,"(375, 0, 0)","(625, 0, 200)"
14,14,"(375, 0, 200)","(125, 0, 50)"
15,15,"(375, 0, 150)","(625, 0, 200)"
16,16,"(625, 0, 150)","(625, 0, 200)"
17,17,"(125, 0, 200)","(125, 0, 50)"
18,18,"(625, 0, 0)","(375, 0, 200)"
19,19,"(125, 0, 150)","(625, 0, 200)"
20,20,"(375, 0, 0)","(125, 0, 200)"
21,21,"(375, 0, 200)","(625, 0, 100)"
22,22,"(125, 0, 200)","(125, 0, 0)"
23,23,"(125, 0, 150)","(125, 0, 200)"
24,24,"(625, 0, 200)","(125, 0, 100)"
