Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,27,362.77042720412135,"(125, 0, 100)","(375, 0, 200)"
1,1,37,380.69218678810057,"(125, 0, 200)","(125, 0, 0)"
2,2,21,352.01737145373386,"(625, 0, 0)","(375, 0, 200)"
3,3,15,341.2643157033463,"(125, 0, 150)","(125, 0, 200)"
4,4,21,352.01737145373386,"(625, 0, 200)","(375, 0, 0)"
5,5,15,341.2643157033463,"(375, 0, 200)","(375, 0, 150)"
6,6,31,369.939131037713,"(125, 0, 200)","(125, 0, 50)"
7,7,33,373.5234829545089,"(625, 0, 200)","(625, 0, 100)"
8,8,33,373.5234829545089,"(625, 0, 200)","(375, 0, 50)"
9,9,15,341.2643157033463,"(625, 0, 150)","(375, 0, 200)"
