Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 100)","(625, 0, 200)"
1,1,"(125, 0, 200)","(375, 0, 50)"
2,2,"(625, 0, 200)","(625, 0, 50)"
3,3,"(375, 0, 200)","(625, 0, 0)"
4,4,"(125, 0, 50)","(625, 0, 200)"
5,5,"(375, 0, 100)","(375, 0, 200)"
6,6,"(125, 0, 0)","(125, 0, 200)"
7,7,"(625, 0, 150)","(625, 0, 200)"
8,8,"(125, 0, 100)","(125, 0, 200)"
9,9,"(375, 0, 200)","(125, 0, 100)"
10,10,"(125, 0, 150)","(375, 0, 200)"
11,11,"(125, 0, 200)","(375, 0, 150)"
12,12,"(125, 0, 50)","(625, 0, 200)"
13,13,"(375, 0, 200)","(375, 0, 100)"
14,14,"(375, 0, 200)","(375, 0, 0)"
15,15,"(375, 0, 0)","(125, 0, 200)"
16,16,"(625, 0, 200)","(125, 0, 150)"
17,17,"(625, 0, 50)","(125, 0, 200)"
18,18,"(625, 0, 150)","(625, 0, 200)"
19,19,"(125, 0, 200)","(625, 0, 100)"
20,20,"(375, 0, 150)","(125, 0, 200)"
21,21,"(625, 0, 100)","(625, 0, 200)"
22,22,"(125, 0, 200)","(125, 0, 0)"
23,23,"(375, 0, 200)","(625, 0, 0)"
24,24,"(375, 0, 50)","(375, 0, 200)"
