Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 200)","(625, 0, 150)"
1,1,"(375, 0, 200)","(625, 0, 100)"
2,2,"(625, 0, 200)","(375, 0, 0)"
3,3,"(125, 0, 0)","(375, 0, 200)"
4,4,"(125, 0, 150)","(125, 0, 200)"
5,5,"(375, 0, 100)","(625, 0, 200)"
6,6,"(375, 0, 200)","(125, 0, 50)"
7,7,"(125, 0, 0)","(625, 0, 200)"
8,8,"(625, 0, 0)","(375, 0, 200)"
9,9,"(125, 0, 200)","(125, 0, 100)"
10,10,"(125, 0, 200)","(125, 0, 150)"
11,11,"(625, 0, 50)","(625, 0, 200)"
12,12,"(375, 0, 200)","(125, 0, 100)"
13,13,"(125, 0, 200)","(375, 0, 50)"
14,14,"(625, 0, 200)","(375, 0, 150)"
