Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 0)","(375, 0, 200)"
1,1,"(375, 0, 200)","(375, 0, 50)"
2,2,"(125, 0, 150)","(625, 0, 200)"
3,3,"(125, 0, 200)","(625, 0, 0)"
4,4,"(375, 0, 150)","(625, 0, 200)"
5,5,"(125, 0, 0)","(125, 0, 200)"
6,6,"(375, 0, 200)","(375, 0, 0)"
7,7,"(125, 0, 150)","(125, 0, 200)"
8,8,"(625, 0, 200)","(625, 0, 150)"
9,9,"(375, 0, 200)","(125, 0, 50)"
10,10,"(125, 0, 200)","(625, 0, 100)"
11,11,"(375, 0, 100)","(625, 0, 200)"
12,12,"(125, 0, 50)","(125, 0, 200)"
13,13,"(125, 0, 100)","(625, 0, 200)"
14,14,"(375, 0, 200)","(625, 0, 50)"
