Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,31,69.93913103771305,"(375, 0, 200)","(125, 0, 100)"
1,1,29,66.35477912091721,"(125, 0, 50)","(375, 0, 200)"
2,2,19,48.43301953693802,"(375, 0, 200)","(375, 0, 50)"
3,3,49,102.1982982888756,"(125, 0, 50)","(625, 0, 200)"
4,4,19,48.43301953693802,"(625, 0, 200)","(625, 0, 50)"
5,5,41,87.86089062169225,"(375, 0, 200)","(625, 0, 100)"
6,6,35,77.10783487130473,"(125, 0, 150)","(625, 0, 200)"
7,7,31,69.93913103771305,"(375, 0, 200)","(625, 0, 150)"
8,8,31,69.93913103771305,"(625, 0, 0)","(125, 0, 200)"
9,9,33,73.52348295450889,"(375, 0, 200)","(625, 0, 0)"
10,10,41,87.86089062169225,"(125, 0, 200)","(375, 0, 100)"
11,11,31,69.93913103771305,"(625, 0, 200)","(375, 0, 50)"
12,12,31,69.93913103771305,"(125, 0, 0)","(625, 0, 200)"
13,13,35,77.10783487130473,"(625, 0, 200)","(625, 0, 50)"
14,14,21,52.01737145373386,"(375, 0, 0)","(125, 0, 200)"
15,15,33,73.52348295450889,"(375, 0, 0)","(125, 0, 200)"
16,16,15,41.26431570334634,"(375, 0, 150)","(125, 0, 200)"
17,17,17,44.84866762014218,"(125, 0, 100)","(125, 0, 200)"
18,18,43,91.44524253848809,"(625, 0, 200)","(125, 0, 0)"
19,19,25,59.18607528732554,"(375, 0, 200)","(625, 0, 150)"
