Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,19,48.43301953693802,"(625, 0, 50)","(375, 0, 200)"
1,1,15,41.26431570334634,"(375, 0, 150)","(375, 0, 200)"
2,2,25,59.18607528732554,"(625, 0, 150)","(125, 0, 200)"
3,3,27,62.770427204121376,"(375, 0, 0)","(375, 0, 200)"
4,4,43,91.44524253848809,"(375, 0, 0)","(375, 0, 200)"
5,5,15,41.26431570334634,"(125, 0, 150)","(125, 0, 200)"
6,6,51,105.78265020567144,"(625, 0, 200)","(125, 0, 100)"
7,7,21,52.01737145373386,"(625, 0, 200)","(625, 0, 150)"
8,8,41,87.86089062169225,"(125, 0, 200)","(375, 0, 100)"
9,9,17,44.84866762014218,"(625, 0, 200)","(375, 0, 100)"
10,10,27,62.770427204121376,"(375, 0, 150)","(125, 0, 200)"
11,11,29,66.35477912091721,"(375, 0, 50)","(625, 0, 200)"
12,12,35,77.10783487130473,"(625, 0, 200)","(625, 0, 0)"
13,13,29,66.35477912091721,"(375, 0, 200)","(125, 0, 150)"
14,14,19,48.43301953693802,"(125, 0, 200)","(125, 0, 50)"
15,15,35,77.10783487130473,"(125, 0, 200)","(125, 0, 50)"
16,16,19,48.43301953693802,"(625, 0, 50)","(625, 0, 200)"
17,17,45,95.02959445528393,"(625, 0, 200)","(125, 0, 0)"
18,18,49,102.1982982888756,"(125, 0, 200)","(625, 0, 100)"
19,19,37,80.69218678810057,"(375, 0, 200)","(625, 0, 0)"
