Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,17,44.84866762014218,"(625, 0, 100)","(625, 0, 200)"
1,1,35,77.10783487130473,"(125, 0, 200)","(125, 0, 0)"
2,2,17,44.84866762014218,"(375, 0, 100)","(375, 0, 200)"
3,3,31,69.93913103771305,"(375, 0, 200)","(375, 0, 50)"
4,4,21,52.01737145373386,"(375, 0, 0)","(625, 0, 200)"
5,5,49,102.1982982888756,"(125, 0, 200)","(625, 0, 100)"
6,6,31,69.93913103771305,"(375, 0, 100)","(375, 0, 200)"
7,7,21,52.01737145373386,"(375, 0, 200)","(625, 0, 0)"
8,8,29,66.35477912091721,"(625, 0, 50)","(125, 0, 200)"
9,9,25,59.18607528732554,"(125, 0, 200)","(375, 0, 150)"
10,10,25,59.18607528732554,"(625, 0, 200)","(125, 0, 150)"
11,11,43,91.44524253848809,"(125, 0, 0)","(625, 0, 200)"
12,12,29,66.35477912091721,"(125, 0, 50)","(375, 0, 200)"
13,13,31,69.93913103771305,"(125, 0, 0)","(625, 0, 200)"
14,14,29,66.35477912091721,"(125, 0, 200)","(125, 0, 100)"
15,15,21,52.01737145373386,"(125, 0, 200)","(375, 0, 0)"
16,16,29,66.35477912091721,"(125, 0, 50)","(375, 0, 200)"
17,17,37,80.69218678810057,"(125, 0, 100)","(625, 0, 200)"
18,18,43,91.44524253848809,"(125, 0, 200)","(625, 0, 0)"
19,19,19,48.43301953693802,"(625, 0, 200)","(625, 0, 50)"
20,20,29,66.35477912091721,"(375, 0, 200)","(375, 0, 150)"
21,21,25,59.18607528732554,"(625, 0, 150)","(125, 0, 200)"
22,22,47,98.61394637207977,"(125, 0, 200)","(625, 0, 150)"
23,23,33,73.52348295450889,"(375, 0, 200)","(125, 0, 150)"
24,24,29,66.35477912091721,"(375, 0, 50)","(625, 0, 200)"
