Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,33,73.52348295450889,"(375, 0, 200)","(125, 0, 50)"
1,1,35,77.10783487130473,"(625, 0, 200)","(375, 0, 0)"
2,2,53,109.36700212246728,"(125, 0, 200)","(625, 0, 100)"
3,3,21,52.01737145373386,"(375, 0, 200)","(625, 0, 0)"
4,4,33,73.52348295450889,"(625, 0, 200)","(375, 0, 100)"
5,5,29,66.35477912091721,"(125, 0, 50)","(375, 0, 200)"
6,6,15,41.26431570334634,"(125, 0, 150)","(125, 0, 200)"
7,7,15,41.26431570334634,"(625, 0, 150)","(625, 0, 200)"
8,8,21,52.01737145373386,"(625, 0, 0)","(375, 0, 200)"
9,9,21,52.01737145373386,"(125, 0, 0)","(375, 0, 200)"
10,10,17,44.84866762014218,"(125, 0, 200)","(125, 0, 100)"
11,11,15,41.26431570334634,"(375, 0, 150)","(125, 0, 200)"
12,12,35,77.10783487130473,"(125, 0, 200)","(125, 0, 0)"
13,13,27,62.770427204121376,"(125, 0, 100)","(375, 0, 200)"
14,14,15,41.26431570334634,"(625, 0, 200)","(625, 0, 150)"
15,15,31,69.93913103771305,"(625, 0, 200)","(625, 0, 100)"
16,16,41,87.86089062169225,"(375, 0, 200)","(625, 0, 50)"
17,17,43,91.44524253848809,"(125, 0, 200)","(375, 0, 50)"
18,18,35,77.10783487130473,"(125, 0, 150)","(625, 0, 200)"
19,19,19,48.43301953693802,"(375, 0, 50)","(125, 0, 200)"
20,20,57,116.53570595605896,"(125, 0, 200)","(625, 0, 50)"
21,21,21,52.01737145373386,"(625, 0, 200)","(375, 0, 0)"
22,22,15,41.26431570334634,"(375, 0, 150)","(375, 0, 200)"
23,23,27,62.770427204121376,"(375, 0, 100)","(625, 0, 200)"
24,24,35,77.10783487130473,"(125, 0, 200)","(125, 0, 50)"
