Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 50)","(125, 0, 200)"
1,1,"(375, 0, 150)","(125, 0, 200)"
2,2,"(625, 0, 150)","(375, 0, 200)"
3,3,"(625, 0, 50)","(375, 0, 200)"
4,4,"(125, 0, 200)","(125, 0, 0)"
5,5,"(375, 0, 50)","(375, 0, 200)"
6,6,"(625, 0, 200)","(375, 0, 100)"
7,7,"(125, 0, 50)","(125, 0, 200)"
8,8,"(625, 0, 200)","(125, 0, 50)"
9,9,"(375, 0, 200)","(125, 0, 100)"
10,10,"(125, 0, 150)","(375, 0, 200)"
11,11,"(125, 0, 200)","(125, 0, 150)"
12,12,"(625, 0, 0)","(375, 0, 200)"
13,13,"(625, 0, 150)","(125, 0, 200)"
14,14,"(375, 0, 200)","(625, 0, 100)"
15,15,"(375, 0, 0)","(125, 0, 200)"
16,16,"(625, 0, 200)","(375, 0, 150)"
17,17,"(125, 0, 200)","(125, 0, 0)"
18,18,"(625, 0, 200)","(625, 0, 0)"
19,19,"(375, 0, 200)","(375, 0, 50)"
20,20,"(125, 0, 200)","(625, 0, 100)"
21,21,"(625, 0, 200)","(375, 0, 100)"
22,22,"(625, 0, 200)","(125, 0, 150)"
23,23,"(125, 0, 100)","(625, 0, 200)"
24,24,"(375, 0, 0)","(625, 0, 200)"
